Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Svizzera,Price / Svizzera,Compare At Price / Svizzera,Status
biglietto-di-natale-2023-albero-di-natale,Biglietto di Natale 2023: L'albero di Natale,"<p><meta charset=""utf-8""><span data-mce-fragment=""1"">160x160 mm (chiuso)</span><span data-mce-fragment=""1""><br></span></p>
<p><span data-mce-fragment=""1"">Formato pieghevole, con busta. </span></p>
<p><span data-mce-fragment=""1"">Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. </span></p>
<p><span>È possibile stampare un testo all’interno dei biglietti. </span><br><span>Se si desidera la personalizzazione, </span><a href=""https://fondazionelafonte.myshopify.com/collections/biglietti/products/sovrastampa-interna-biglietti"">acquistare anche la personalizzazione</a><span> e aggiungere nelle “note” nel carrello il testo desiderato. La personalizzazione è possibile solamente per acquisti fatti entro il 01.12. Prima della stampa ti contatteremo per una conferma.</span></p>
<p><span data-sheets-value='{""1"":2,""2"":""148x210 mm (chiuso)\nFormato pieghevole""}' data-sheets-userformat='{""2"":33555329,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""28"":1}'>Desideri che ci occupiamo di spedire le cartoline a tutti i tuoi destinatari? Contattaci allo 091 606 56 56 o invia una mail a <a class=""c-link"" data-stringify-link=""mailto:info@lafonte.ch"" data-sk=""tooltip_parent"" href=""mailto:info@lafonte.ch"" data-mce-href=""mailto:info@lafonte.ch"" target=""_blank"" delay=""150"">info@lafonte.ch</a></span></p>",Fondazione La Fonte,,Biglietti,Natale,true,Title,Default Title,,,,,,0.0,,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/biglietto_23_albero-di-natale.jpg?v=1696943419,1,,false,,"Biglietto di Natale allegro e colorato. Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,active
biglietto-di-natale-2023-albero-di-natale,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/L_alberodeiregali.jpg?v=1696943419,2,,,,,,,,,,,,,,,,,,,,,,,
biglietto-di-natale-2023-la-casetta-e-le-stelle-sul-lago,Biglietto di Natale 2023: La casetta e le stelle sul lago,"<p><meta charset=""utf-8""><span data-mce-fragment=""1"">160x160 mm (chiuso)</span><span data-mce-fragment=""1""><br></span></p>
<p><span data-mce-fragment=""1"">Formato pieghevole, con busta. </span></p>
<p><span data-mce-fragment=""1"">Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. </span></p>
<p><span>È possibile stampare un testo all’interno dei biglietti. </span><br><span>Se si desidera la personalizzazione, </span><a href=""https://fondazionelafonte.myshopify.com/collections/biglietti/products/sovrastampa-interna-biglietti"">acquistare anche la personalizzazione</a><span> e aggiungere nelle “note” nel carrello il testo desiderato. La personalizzazione è possibile solamente per acquisti fatti entro il 01.12. Prima della stampa ti contatteremo per una conferma.</span></p>
<p><span data-sheets-value='{""1"":2,""2"":""148x210 mm (chiuso)\nFormato pieghevole""}' data-sheets-userformat='{""2"":33555329,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""28"":1}'>Desideri che ci occupiamo di spedire le cartoline a tutti i tuoi destinatari? Contattaci allo 091 606 56 56 o invia una mail a <a class=""c-link"" data-stringify-link=""mailto:info@lafonte.ch"" data-sk=""tooltip_parent"" href=""mailto:info@lafonte.ch"" data-mce-href=""mailto:info@lafonte.ch"" target=""_blank"" delay=""150"">info@lafonte.ch</a></span></p>",Fondazione La Fonte,,Biglietti,Natale,true,Title,Default Title,,,,,,0.0,,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/biglietto_23_la-casetta-e-le-stelle-sul-lago.jpg?v=1696943437,1,,false,,"Albero di Natale pop. Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,active
biglietto-di-natale-2023-la-casetta-e-le-stelle-sul-lago,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/Natalesullago.jpg?v=1696943437,2,,,,,,,,,,,,,,,,,,,,,,,
biglietto-di-natale-2023-natale-festa-di-colori,"Biglietto di Natale 2023: Natale, festa di colori","<p><meta charset=""utf-8""><span data-mce-fragment=""1"">160x160 mm (chiuso)</span><span data-mce-fragment=""1""><br></span></p>
<p><span data-mce-fragment=""1"">Formato pieghevole, con busta. </span></p>
<p><span data-mce-fragment=""1"">Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. </span></p>
<p><span>È possibile stampare un testo all’interno dei biglietti. </span><br><span>Se si desidera la personalizzazione, </span><a href=""https://fondazionelafonte.myshopify.com/collections/biglietti/products/sovrastampa-interna-biglietti"">acquistare anche la personalizzazione</a><span> e aggiungere nelle “note” nel carrello il testo desiderato. La personalizzazione è possibile solamente per acquisti fatti entro il 01.12. Prima della stampa ti contatteremo per una conferma.</span></p>
<p><span data-sheets-value='{""1"":2,""2"":""148x210 mm (chiuso)\nFormato pieghevole""}' data-sheets-userformat='{""2"":33555329,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""28"":1}'>Desideri che ci occupiamo di spedire le cartoline a tutti i tuoi destinatari? Contattaci allo 091 606 56 56 o invia una mail a <a class=""c-link"" data-stringify-link=""mailto:info@lafonte.ch"" data-sk=""tooltip_parent"" href=""mailto:info@lafonte.ch"" data-mce-href=""mailto:info@lafonte.ch"" target=""_blank"" delay=""150"">info@lafonte.ch</a></span></p>",Fondazione La Fonte,,Biglietti,Natale,true,Title,Default Title,,,,,,0.0,,deny,manual,4.00,,true,false,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/biglietto_23_natale-festa-di-colori.jpg?v=1696943399,1,,false,,"Biglietto di Natale allegro e colorato. Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,active
biglietto-di-natale-2023-natale-festa-di-colori,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/files/FestadiNatale.jpg?v=1696943399,2,,,,,,,,,,,,,,,,,,,,,,,
olio-extra-vergine-d-oliva-macchia-palmane-0-25,"Olio Extra Vergine d’Oliva ""Macchia Palmane"" 25 cl","<meta charset=""utf-8"">
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span data-sheets-value='{""1"":2,""2"":""Olio extravergine di oliva tipicamente toscano che si distingue per il suo sapore forte e deciso, un aroma corposo e robusto che lo rende particolarmente adatto all’impiego nella preparazione di piatti a base di carne e cacciagione.\n\nProdotto da: Azienda Agricola Erika, Toscana\n\nFormato 0,75 l\n\nConfezione 1 bottiglia""}' data-sheets-userformat='{""2"":33559425,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""15"":""arial,sans,sans-serif"",""28"":1}'>Olio extravergine di oliva squisitamente toscano, che si distingue per il suo sapore elegante e deciso ed un aroma corposo che lo rende particolarmente adatto sia come condimento a crudo di verdure e insalate, che nella preparazione di piatti a base di carne e cacciagione.<br></span></p>
<p><span style=""color: #ff2a00;"">Il Macchia Palmane si è distinto nel Masters of Olive Oil International Contest 2021, ottenendo il terzo posto tra 170 oli provenienti dalle più blasonate e premiate aziende di tre continenti.</span><br></p>
<p><span data-sheets-value='{""1"":2,""2"":""Olio extravergine di oliva tipicamente toscano che si distingue per il suo sapore forte e deciso, un aroma corposo e robusto che lo rende particolarmente adatto all’impiego nella preparazione di piatti a base di carne e cacciagione.\n\nProdotto da: Azienda Agricola Erika, Toscana\n\nFormato 0,75 l\n\nConfezione 1 bottiglia""}' data-sheets-userformat='{""2"":33559425,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""15"":""arial,sans,sans-serif"",""28"":1}'>Prodotto da: Azienda Agricola Erika, Toscana<br><br>Bottiglia da 0.25 L</span></p>",Azienda Agricola Erika,,Oli,Spedizione - dispensa,true,Title,Default Title,,,,,"",365.0,,deny,manual,10.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/OlioMacchiaPalmane_25cl_2Z4A1387_52dde838-071d-41d9-b603-980b29b48abf.jpg?v=1664782960,1,,false,,"Olio extravergine di oliva squisitamente toscano che si distingue per il suo sapore elegante e deciso, un aroma corposo che lo rende particolarmente adatto come condimento a crudo di verdure e insalate e nella preparazione di piatti a base di carne e cacciagione. Il Macchia Palmane è stato premiato al Masters of Olive Oil International Contest 2021.",,,,,,,,,,,,,kg,,,true,,,active
olio-extra-vergine-d-oliva-macchia-palmane-0-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/OlioMacchiaPalmane_25cl_Label_2Z4A1391_1a0de316-f3ef-475b-9347-fefc0c967ac4.jpg?v=1664782960,2,,,,,,,,,,,,,,,,,,,,,,,
olio-extra-vergine-d-oliva-macchia-palmane-0-75-cl,"Olio Extra Vergine d’Oliva ""Macchia Palmane"" 75 cl","<meta charset=""utf-8"">
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span data-sheets-userformat='{""2"":33559425,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""15"":""arial,sans,sans-serif"",""28"":1}' data-sheets-value='{""1"":2,""2"":""Olio extravergine di oliva tipicamente toscano che si distingue per il suo sapore forte e deciso, un aroma corposo e robusto che lo rende particolarmente adatto all’impiego nella preparazione di piatti a base di carne e cacciagione.\n\nProdotto da: Azienda Agricola Erika, Toscana\n\nFormato 0,75 l\n\nConfezione 1 bottiglia""}'>Olio extravergine di oliva squisitamente toscano, che si distingue per il suo sapore elegante e deciso ed un aroma corposo che lo rende particolarmente adatto sia come condimento a crudo di verdure e insalate, che nella preparazione di piatti a base di carne e cacciagione.<br></span></p>
<p><span style=""color: #ff2a00;"">Il Macchia Palmane si è distinto nel Masters of Olive Oil International Contest 2021, ottenendo il terzo posto tra 170 oli provenienti dalle più blasonate e premiate aziende di tre continenti.</span><br></p>
<p><span data-sheets-userformat='{""2"":33559425,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""15"":""arial,sans,sans-serif"",""28"":1}' data-sheets-value='{""1"":2,""2"":""Olio extravergine di oliva tipicamente toscano che si distingue per il suo sapore forte e deciso, un aroma corposo e robusto che lo rende particolarmente adatto all’impiego nella preparazione di piatti a base di carne e cacciagione.\n\nProdotto da: Azienda Agricola Erika, Toscana\n\nFormato 0,75 l\n\nConfezione 1 bottiglia""}'>Prodotto da: Azienda Agricola Erika, Toscana<br><br>Bottiglia da 0.75 L</span></p>
<p><span data-sheets-userformat='{""2"":33559425,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""15"":""arial,sans,sans-serif"",""28"":1}' data-sheets-value='{""1"":2,""2"":""Olio extravergine di oliva tipicamente toscano che si distingue per il suo sapore forte e deciso, un aroma corposo e robusto che lo rende particolarmente adatto all’impiego nella preparazione di piatti a base di carne e cacciagione.\n\nProdotto da: Azienda Agricola Erika, Toscana\n\nFormato 0,75 l\n\nConfezione 1 bottiglia""}'><meta charset=""utf-8"">Desideri aggiungere una confezione regalo? <a aria-describedby=""a11y-new-window-external-message"" title=""Confezione regalo per vino"" href=""https://fondazionelafonte.myshopify.com/products/confezione-regalo-bottiglie"" data-mce-href=""https://fondazionelafonte.myshopify.com/products/confezione-regalo-bottiglie"" target=""_blank"">Acquistala qui.</a></span></p>",Azienda Agricola Erika,,Oli,"",true,Title,Default Title,,,,,"",1000.0,,deny,manual,23.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/OlioMacchiaPalmane_75cl_2Z4A1196_edcc4fab-7b2d-4fc6-890d-1281b0950591.jpg?v=1664783130,1,,false,,"Olio extravergine di oliva squisitamente toscano che si distingue per il suo sapore elegante e deciso, un aroma corposo che lo rende particolarmente adatto come condimento a crudo di verdure e insalate e nella preparazione di piatti a base di carne e cacciagione. Il Macchia Palmane è stato premiato al Masters of Olive Oil International Contest 2021.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/OlioMacchiaPalmane_75cl_2Z4A1196_edcc4fab-7b2d-4fc6-890d-1281b0950591.jpg?v=1664783130,kg,,,true,,,active
olio-extra-vergine-d-oliva-macchia-palmane-0-75-cl,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/OlioMacchiaPalmane_75cl_Label_2Z4A1198_3a014d80-8197-40e8-ba83-66683c3c3207.jpg?v=1664783130,2,,,,,,,,,,,,,,,,,,,,,,,
